"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y1-number-post-03-v2","Post-Test","AC9M1N03","How many counters altogether?","Constructed Response","Easy","Understanding","skip-count-step","25","","","","",""
"y1-number-post-04-v2","Post-Test","AC9M1N04","What is 9 + 7?","Constructed Response","Easy","Recall","operation-story-structure","16","","","","",""
"y1-number-post-05-v2","Post-Test","AC9M1N05","7 seedlings grow here. 4 grow there. How many seedlings?","Constructed Response","Easy","Understanding","operation-story-structure","11","","","","",""
"y1-number-post-06-v2","Post-Test","AC9M1N06","Share 15 equally onto 3 plates. How many on each?","Constructed Response","Easy","Understanding","equal-sharing-vs-grouping","5","","","","",""
"y1-number-post-07-v2","Post-Test","AC9M1A01","What number comes next?","Constructed Response","Easy","Recall","skip-count-step","10","","","","",""
"y1-number-post-08-v2","Post-Test","AC9M1A02","Add the next part.","Manipulated Response","Easy","Recall","repeating-unit","robot","","","","",""
"y1-number-post-09-v2","Post-Test","AC9M1N01","Fill the gap in the number path.","Constructed Response","Easy","Understanding","numeral-quantity-disconnect","119","","","","",""
"y1-number-post-10-v2","Post-Test","AC9M1N04","The whole is 18. One part is 11. Find the other part.","Constructed Response","Easy","Understanding","operation-story-structure","7","","","","",""
"y1-number-post-11-v2","Post-Test","AC9M1N02","64 is 30 and what other part?","Constructed Response","Moderate","Application","nonstandard-partition, part-whole-conservation","34","","","","",""
"y1-number-post-12-v2","Post-Test","AC9M1N03","Which grouping represents 120 counters?","Selected Response","Moderate","Reasoning","skip-count-step","24 groups of 5","","","","",""
"y1-number-post-13-v2","Post-Test","AC9M1N04","What is 18 - 9?","Constructed Response","Moderate","Application","operation-story-structure","9","","","","",""
"y1-number-post-14-v2","Post-Test","AC9M1N05","A puzzle costs $6. A kite costs $5. How much altogether?","Constructed Response","Moderate","Application","coin-count-vs-value","11","","","","",""
"y1-number-post-15-v2","Post-Test","AC9M1N06","Put 18 into groups of 3. How many groups?","Constructed Response","Moderate","Application","equal-sharing-vs-grouping","6","","","","",""
"y1-number-post-16-v2","Post-Test","AC9M1A01","Fill the gap in the skip-count.","Constructed Response","Moderate","Application","skip-count-step","25","","","","",""
"y1-number-post-17-v2","Post-Test","AC9M1A02","Build the next 2 parts.","Manipulated Response","Moderate","Understanding","repeating-unit","robot||robot","","","","",""
"y1-number-post-18-v2","Post-Test","AC9M1N01","Put the numbers in order. Smallest first.","Manipulated Response","Moderate","Application","numeral-quantity-disconnect","98||109||120","","","","",""
"y1-number-post-19-v2","Post-Test","AC9M1N05","Liam has more coins. Does he always have more money?","Selected Response","Challenging","Reasoning","coin-count-vs-value","No. Coin values matter.","","","","",""
"y1-number-post-20-v2","Post-Test","AC9M1N06","Is this share equal?","Selected Response","Challenging","Reasoning","equal-sharing-vs-grouping","Yes","","","","",""
