"Item ID","Form","Descriptor","Question summary","Response type","Difficulty","Cognitive category","Misconception","Expected answer","Reviewer verdict","Wording issue","Visual issue","Curriculum issue","Recommended action"
"y2-measurement-post-04-v3","Post-Test","AC9M2M04","Read the arrival clock. Enter the time as four digits, without punctuation.","Constructed response","Easy","Understanding","analog-hand-role","0800","","","","",""
"y2-measurement-post-05-v3","Post-Test","AC9M2M05","An arrow points west, then turns clockwise to north. What turn did it make?","Selected response","Easy","Understanding","turn-size-vs-direction","A quarter turn","","","","",""
"y2-measurement-post-06-v3","Post-Test","AC9M2M01","Two ribbons measure 8 and 5 of the same counter. How many counters longer is the first ribbon?","Constructed response","Easy","Understanding","gaps-or-overlaps","3","","","","",""
"y2-measurement-post-07-v3","Post-Test","AC9M2M02","A paper strip is divided into eighths. How many equal parts make the whole strip?","Constructed response","Easy","Understanding","unequal-fractional-parts","8","","","","",""
"y2-measurement-post-08-v3","Post-Test","AC9M2M03","Today is 7 September. A concert is 4 days later. What is the date in September of the concert?","Constructed response","Easy","Understanding","calendar-inclusive-count","11","","","","",""
"y2-measurement-post-09-v3","Post-Test","AC9M2M04","Read the reading clock. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","1130","","","","",""
"y2-measurement-post-10-v3","Post-Test","AC9M2M05","A robot starts facing west and makes a half turn. Which direction does it face now?","Selected response","Moderate","Application","turn-size-vs-direction","East","","","","",""
"y2-measurement-post-11-v3","Post-Test","AC9M2M01","A truck balances 13 identical blocks and a car balances 9. How many blocks heavier is the truck?","Constructed response","Moderate","Application","non-uniform-units","4","","","","",""
"y2-measurement-post-12-v3","Post-Test","AC9M2M01","Three buckets hold 6, 10 and 8 of the same scoop. What is the difference between the greatest and least capacities?","Constructed response","Moderate","Application","cross-unit-count-comparison","4","","","","",""
"y2-measurement-post-13-v3","Post-Test","AC9M2M02","A biscuit is broken into two unequal pieces. Which statement is correct?","Selected response","Moderate","Application","unequal-fractional-parts","The pieces are not halves because they are unequal.","","","","",""
"y2-measurement-post-14-v3","Post-Test","AC9M2M03","A project begins on 17 October and ends on 24 October. How many days between the dates?","Constructed response","Moderate","Application","calendar-inclusive-count","7","","","","",""
"y2-measurement-post-15-v3","Post-Test","AC9M2M04","Read the bus clock. Enter the time as four digits, without punctuation.","Constructed response","Moderate","Application","analog-hand-role","0415","","","","",""
"y2-measurement-post-16-v3","Post-Test","AC9M2M05","A robot makes three quarter turns in the same direction. How many quarter turns has it made?","Constructed response","Moderate","Application","turn-size-vs-direction","3","","","","",""
"y2-measurement-post-17-v3","Post-Test","AC9M2M01","A mat measures 7 large blocks. Each large block is as long as 2 small blocks. How long is the mat in small blocks?","Constructed response","Moderate","Application","informal-unit-size-count","14","","","","",""
"y2-measurement-post-18-v3","Post-Test","AC9M2M03","Camp begins on 8 July and ends on 12 July. A student counts both dates and says 5 days between. How many days between the dates?","Constructed response","Challenging","Reasoning","calendar-inclusive-count","4","","","","",""
"y2-measurement-post-19-v3","Post-Test","AC9M2M04","The minute hand points to 9 and the hour hand is nearly at 8. Which time is correct?","Selected response","Challenging","Reasoning","quarter-to-hour-name","Quarter to 8","","","","",""
"y2-measurement-post-20-v3","Post-Test","AC9M2M01","A table measures 8 hand spans or 12 pencils. A student says it is longer when measured in pencils. Which correction is best?","Selected response","Challenging","Reasoning","cross-unit-count-comparison","Use the same-sized unit before comparing the counts.","","","","",""
